"Step","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss__MIN","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss__MAX","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss__MIN","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss__MAX"
"301","6.715401785714286","6.3828125","7.5546875","6.5078125","6.5078125","6.5078125"
"311","6.723214285714286","6.40625","7.671875","6.421875","6.421875","6.421875"
"321","6.639508928571429","6.3046875","7.7109375","6.390625","6.390625","6.390625"
"331","6.59375","6.3125","7.671875","6.3359375","6.3359375","6.3359375"
"341","6.587053571428571","6.2421875","7.578125","6.1796875","6.1796875","6.1796875"
"351","6.577008928571429","6.3125","7.578125","6.1953125","6.1953125","6.1953125"
"361","6.524553571428571","6.21875","7.578125","6.265625","6.265625","6.265625"
"371","6.522321428571429","6.2421875","7.46875","6.2109375","6.2109375","6.2109375"
"381","6.4609375","6.1953125","7.5234375","6.09375","6.09375","6.09375"
"391","6.430803571428571","6.15625","7.4296875","6.1484375","6.1484375","6.1484375"
"401","6.381696428571429","6.0859375","7.515625","6.234375","6.234375","6.234375"
"411","6.364955357142857","6.03125","7.4375","6.2734375","6.2734375","6.2734375"
"421","6.337053571428571","5.984375","7.375","6.1796875","6.1796875","6.1796875"
"431","6.3125","5.9921875","7.484375","5.9765625","5.9765625","5.9765625"
"441","6.306919642857143","6.015625","7.296875","5.8359375","5.8359375","5.8359375"
"451","6.258928571428571","5.9609375","7.296875","5.9140625","5.9140625","5.9140625"
"461","6.293526785714286","5.9140625","7.2421875","6.03125","6.03125","6.03125"
"471","6.21875","5.9296875","7.375","5.96875","5.96875","5.96875"
"481","6.196428571428571","5.890625","7.3046875","5.875","5.875","5.875"
"491","6.204241071428571","5.8828125","7.2734375","5.8359375","5.8359375","5.8359375"
"501","6.169642857142857","5.90625","7.2578125","5.8203125","5.8203125","5.8203125"
"511","6.198660714285714","5.8203125","7.6015625","5.9140625","5.9140625","5.9140625"
"521","6.178571428571429","5.8046875","7.6015625","5.8359375","5.8359375","5.8359375"
"531","6.248883928571429","5.8515625","7.6015625","5.828125","5.828125","5.828125"
"541","6.138392857142857","5.6875","7.703125","5.9296875","5.9296875","5.9296875"
"551","6.172991071428571","5.671875","7.8125","5.765625","5.765625","5.765625"
"561","6.155133928571429","5.6484375","7.734375","5.6328125","5.6328125","5.6328125"
"571","6.108258928571429","5.671875","7.6875","5.734375","5.734375","5.734375"
"581","6.081473214285714","5.640625","7.640625","5.53125","5.53125","5.53125"
"591","6.03125","5.6484375","7.8203125","5.734375","5.734375","5.734375"
"601","6.0390625","5.5703125","7.6484375","5.6171875","5.6171875","5.6171875"
"611","6.016741071428571","5.5546875","7.7421875","5.609375","5.609375","5.609375"
"621","6.017857142857143","5.578125","7.7578125","5.6796875","5.6796875","5.6796875"
"631","6.0078125","5.6171875","7.71875","5.65625","5.65625","5.65625"
"641","5.96875","5.515625","7.6875","5.59375","5.59375","5.59375"
"651","5.930803571428571","5.34375","7.6796875","5.4765625","5.4765625","5.4765625"
"661","5.909598214285714","5.4296875","7.8125","5.484375","5.484375","5.484375"
"671","5.897321428571429","5.421875","7.78125","5.5390625","5.5390625","5.5390625"
"681","5.911830357142857","5.4453125","7.6953125","5.5234375","5.5234375","5.5234375"
"691","5.878348214285714","5.390625","7.7421875","5.4453125","5.4453125","5.4453125"
"701","5.854910714285714","5.390625","7.71875","5.421875","5.421875","5.421875"
"711","5.8984375","5.4609375","7.8125","5.5234375","5.5234375","5.5234375"
"721","5.861607142857143","5.3828125","7.6796875","5.4609375","5.4609375","5.4609375"
"731","5.838169642857143","5.3359375","7.7265625","5.4765625","5.4765625","5.4765625"
"741","5.864955357142857","5.3125","7.65625","5.4765625","5.4765625","5.4765625"
"751","5.755580357142857","5.25","7.71875","5.359375","5.359375","5.359375"
"761","5.751116071428571","5.2890625","7.703125","5.3203125","5.3203125","5.3203125"
"771","5.8125","5.3515625","7.625","5.2421875","5.2421875","5.2421875"
