"Step","a100_fw1b_l22_decoupled_s1337_paper_sem8geo32v40:train - tok_s","a100_fw1b_l22_decoupled_s1337_paper_sem8geo32v40:train - tok_s__MIN","a100_fw1b_l22_decoupled_s1337_paper_sem8geo32v40:train - tok_s__MAX","a100_fw1b_l22_decoupled_s1337_paper_strict:train - tok_s","a100_fw1b_l22_decoupled_s1337_paper_strict:train - tok_s__MIN","a100_fw1b_l22_decoupled_s1337_paper_strict:train - tok_s__MAX","a100_fw1b_l22_baseline_s1337_paper_strict:train - tok_s","a100_fw1b_l22_baseline_s1337_paper_strict:train - tok_s__MIN","a100_fw1b_l22_baseline_s1337_paper_strict:train - tok_s__MAX"
"1531","18201.993602567687","18201.993602567687","18201.993602567687","13510.054354904836","13510.054354904836","13510.054354904836","17472.162977722786","17472.162977722786","17472.162977722786"
"1541","18302.510846360845","18302.510846360845","18302.510846360845","13034.434074030778","13034.434074030778","13034.434074030778","17748.856514282958","17748.856514282958","17748.856514282958"
"1551","18289.432202759723","18289.432202759723","18289.432202759723","12162.0607967219","12162.0607967219","12162.0607967219","17754.148691957955","17754.148691957955","17754.148691957955"
"1561","18314.381061997585","18314.381061997585","18314.381061997585","12192.503891972143","12192.503891972143","12192.503891972143","17861.10977180647","17861.10977180647","17861.10977180647"
"1571","18444.476763612503","18444.476763612503","18444.476763612503","12481.583930147097","12481.583930147097","12481.583930147097","17393.630688295052","17393.630688295052","17393.630688295052"
"1581","18536.85509977483","18536.85509977483","18536.85509977483","12701.956110313318","12701.956110313318","12701.956110313318","17713.974757929445","17713.974757929445","17713.974757929445"
"1591","18344.353020735543","18344.353020735543","18344.353020735543","12721.793684008057","12721.793684008057","12721.793684008057","17786.03799339815","17786.03799339815","17786.03799339815"
"1601","18551.90636308178","18551.90636308178","18551.90636308178","12799.429876420294","12799.429876420294","12799.429876420294","17786.624982063673","17786.624982063673","17786.624982063673"
"1611","18497.844079111026","18497.844079111026","18497.844079111026","13209.476581029076","13209.476581029076","13209.476581029076","17305.9470303971","17305.9470303971","17305.9470303971"
"1621","18301.86273416867","18301.86273416867","18301.86273416867","13021.352269665054","13021.352269665054","13021.352269665054","17687.34331470475","17687.34331470475","17687.34331470475"
"1631","18363.077015431554","18363.077015431554","18363.077015431554","13006.447226240478","13006.447226240478","13006.447226240478","17826.06660523021","17826.06660523021","17826.06660523021"
"1641","18226.76180196921","18226.76180196921","18226.76180196921","13103.445509356608","13103.445509356608","13103.445509356608","17389.344144430204","17389.344144430204","17389.344144430204"
"1651","18131.76256667614","18131.76256667614","18131.76256667614","13342.740435517853","13342.740435517853","13342.740435517853","17805.492208756492","17805.492208756492","17805.492208756492"
"1661","18333.700098379395","18333.700098379395","18333.700098379395","13107.522800918416","13107.522800918416","13107.522800918416","17844.354648480996","17844.354648480996","17844.354648480996"
"1671","17506.326824706684","17506.326824706684","17506.326824706684","13344.289303074433","13344.289303074433","13344.289303074433","17541.92820959238","17541.92820959238","17541.92820959238"
"1681","17602.315050179215","17602.315050179215","17602.315050179215","12981.97461586786","12981.97461586786","12981.97461586786","17786.54186404174","17786.54186404174","17786.54186404174"
"1691","17642.521357540514","17642.521357540514","17642.521357540514","13013.952376524896","13013.952376524896","13013.952376524896","17823.618313592782","17823.618313592782","17823.618313592782"
