"Step","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss__MIN","a100_fw1b_l22_decoupled_s1337_paper_strict:train - loss__MAX","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss__MIN","a100_fw1b_l22_baseline_s1337_paper_strict:train - loss__MAX"
"2331","4.2578125","4.2578125","4.2578125","4.203125","4.203125","4.203125"
"2341","4.359375","4.359375","4.359375","4.11328125","4.11328125","4.11328125"
"2351","4.203125","4.203125","4.203125","4.1953125","4.1953125","4.1953125"
"2361","4.28125","4.28125","4.28125","4.26171875","4.26171875","4.26171875"
"2371","4.3125","4.3125","4.3125","4.2265625","4.2265625","4.2265625"
"2381","4.359375","4.359375","4.359375","4.40625","4.40625","4.40625"
"2391","4.3046875","4.3046875","4.3046875","4.1328125","4.1328125","4.1328125"
"2401","4.2265625","4.2265625","4.2265625","4.1875","4.1875","4.1875"
"2411","4.265625","4.265625","4.265625","4.203125","4.203125","4.203125"
"2421","4.3046875","4.3046875","4.3046875","4.1171875","4.1171875","4.1171875"
"2431","4.3515625","4.3515625","4.3515625","4.046875","4.046875","4.046875"
"2441","4.16015625","4.16015625","4.16015625","4.2421875","4.2421875","4.2421875"
"2451","4.1953125","4.1953125","4.1953125","4.2265625","4.2265625","4.2265625"
"2461","4.25","4.25","4.25","4.328125","4.328125","4.328125"
"2471","4.03125","4.03125","4.03125","4.12890625","4.12890625","4.12890625"
"2481","4.296875","4.296875","4.296875","4.1953125","4.1953125","4.1953125"
"2491","4.234375","4.234375","4.234375","4.3046875","4.3046875","4.3046875"
"2501","4.3515625","4.3515625","4.3515625","4.203125","4.203125","4.203125"
"2511","4.265625","4.265625","4.265625","4.109375","4.109375","4.109375"
"2521","4.2578125","4.2578125","4.2578125","4.0234375","4.0234375","4.0234375"
"2531","4.265625","4.265625","4.265625","4.11328125","4.11328125","4.11328125"
"2541","4.2734375","4.2734375","4.2734375","4.171875","4.171875","4.171875"
"2551","4.2734375","4.2734375","4.2734375","4.265625","4.265625","4.265625"
"2561","4.28125","4.28125","4.28125","4.234375","4.234375","4.234375"
"2571","4.1328125","4.1328125","4.1328125","3.96484375","3.96484375","3.96484375"
"2581","4.1640625","4.1640625","4.1640625","4.1171875","4.1171875","4.1171875"
"2591","4.22265625","4.22265625","4.22265625","4.05859375","4.05859375","4.05859375"
"2601","4.1328125","4.1328125","4.1328125","4.265625","4.265625","4.265625"
"2611","4.12109375","4.12109375","4.12109375","3.9921875","3.9921875","3.9921875"
"2621","4.078125","4.078125","4.078125","4.1171875","4.1171875","4.1171875"
"2631","4.1171875","4.1171875","4.1171875","4.09765625","4.09765625","4.09765625"
"2641","4.18359375","4.18359375","4.18359375","4.03515625","4.03515625","4.03515625"
"2651","4.2265625","4.2265625","4.2265625","4.05078125","4.05078125","4.05078125"
"2661","4.1328125","4.1328125","4.1328125","4.17578125","4.17578125","4.17578125"
"2671","4.171875","4.171875","4.171875","4.12890625","4.12890625","4.12890625"
"2681","4.01171875","4.01171875","4.01171875","4.1640625","4.1640625","4.1640625"
"2691","4.01171875","4.01171875","4.01171875","4.1796875","4.1796875","4.1796875"
"2701","4.28125","4.28125","4.28125","4.140625","4.140625","4.140625"
"2711","4.1953125","4.1953125","4.1953125","4.1875","4.1875","4.1875"
"2721","4.24609375","4.24609375","4.24609375","4.0546875","4.0546875","4.0546875"
"2731","4.109375","4.109375","4.109375","4.09375","4.09375","4.09375"
"2741","4.28125","4.28125","4.28125","4.1875","4.1875","4.1875"
"2751","4.140625","4.140625","4.140625","4.15625","4.15625","4.15625"
"2761","4.140625","4.140625","4.140625","4.078125","4.078125","4.078125"
"2771","4.11328125","4.11328125","4.11328125","4.07421875","4.07421875","4.07421875"
"2781","4.15234375","4.15234375","4.15234375","4.04296875","4.04296875","4.04296875"
"2791","4.2265625","4.2265625","4.2265625","4.109375","4.109375","4.109375"
"2801","4.15625","4.15625","4.15625","4.0703125","4.0703125","4.0703125"
"2811","4.171875","4.171875","4.171875","4.16015625","4.16015625","4.16015625"
"2821","4.1796875","4.1796875","4.1796875","4.05859375","4.05859375","4.05859375"
"2831","4.2265625","4.2265625","4.2265625","4.09375","4.09375","4.09375"
"2841","4.125","4.125","4.125","4.08984375","4.08984375","4.08984375"
"2851","4.07421875","4.07421875","4.07421875","4.1171875","4.1171875","4.1171875"
"2861","4.12890625","4.12890625","4.12890625","3.83984375","3.83984375","3.83984375"
"2871","4.140625","4.140625","4.140625","4.109375","4.109375","4.109375"
"2881","3.87890625","3.87890625","3.87890625","4.17578125","4.17578125","4.17578125"
"2891","4.3203125","4.3203125","4.3203125","4.015625","4.015625","4.015625"
"2901","4.125","4.125","4.125","4.1484375","4.1484375","4.1484375"
"2911","4.1171875","4.1171875","4.1171875","3.921875","3.921875","3.921875"
"2921","3.875","3.875","3.875","4.05859375","4.05859375","4.05859375"
"2931","4.02734375","4.02734375","4.02734375","4.0703125","4.0703125","4.0703125"
"2941","4.09375","4.09375","4.09375","4.04296875","4.04296875","4.04296875"
"2951","4.1171875","4.1171875","4.1171875","3.97265625","3.97265625","3.97265625"
"2961","4.078125","4.078125","4.078125","4.20703125","4.20703125","4.20703125"
"2971","4.03125","4.03125","4.03125","4.078125","4.078125","4.078125"
"2981","4.03125","4.03125","4.03125","4.0546875","4.0546875","4.0546875"
"2991","4.01171875","4.01171875","4.01171875","3.98046875","3.98046875","3.98046875"
"3001","4.12109375","4.12109375","4.12109375","4.07421875","4.07421875","4.07421875"
"3011","3.9375","3.9375","3.9375","4.01171875","4.01171875","4.01171875"
"3021","4.21875","4.21875","4.21875","4.0703125","4.0703125","4.0703125"
"3031","4.0234375","4.0234375","4.0234375","3.953125","3.953125","3.953125"
"3041","4.171875","4.171875","4.171875","3.95703125","3.95703125","3.95703125"
"3051","4.171875","4.171875","4.171875","4.0625","4.0625","4.0625"
"3061","4.0078125","4.0078125","4.0078125","4.25390625","4.25390625","4.25390625"
"3071","4.015625","4.015625","4.015625","4.0390625","4.0390625","4.0390625"
"3081","4.08203125","4.08203125","4.08203125","4.04296875","4.04296875","4.04296875"
"3091","4.1171875","4.1171875","4.1171875","3.98828125","3.98828125","3.98828125"
"3101","4.21875","4.21875","4.21875","4.04296875","4.04296875","4.04296875"
"3111","3.96484375","3.96484375","3.96484375","4.015625","4.015625","4.015625"
"3121","4.0390625","4.0390625","4.0390625","4.01171875","4.01171875","4.01171875"
"3131","3.97265625","3.97265625","3.97265625","3.9609375","3.9609375","3.9609375"
"3141","3.9609375","3.9609375","3.9609375","4.0078125","4.0078125","4.0078125"
"3151","4.0078125","4.0078125","4.0078125","4.0078125","4.0078125","4.0078125"
"3161","4.1328125","4.1328125","4.1328125","4.1328125","4.1328125","4.1328125"
"3171","4.0546875","4.0546875","4.0546875","4.04296875","4.04296875","4.04296875"
"3181","4.02734375","4.02734375","4.02734375","3.9921875","3.9921875","3.9921875"
"3191","4.0234375","4.0234375","4.0234375","3.9453125","3.9453125","3.9453125"
"3201","4.08984375","4.08984375","4.08984375","3.984375","3.984375","3.984375"
"3211","4.0078125","4.0078125","4.0078125","3.8359375","3.8359375","3.8359375"
"3221","3.94140625","3.94140625","3.94140625","4.140625","4.140625","4.140625"
